"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 16:08:05 GMT 2024","Fri Jun 07 16:08:05 GMT 2024","685","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 16:08:06 GMT 2024","Fri Jun 07 16:08:07 GMT 2024","687","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 16:07:40 GMT 2024","Fri Jun 07 16:07:41 GMT 2024","851","tests.api","test_basic_api","","","","test_my_ip_request_has_a_body",""
"passed","Fri Jun 07 16:08:00 GMT 2024","Fri Jun 07 16:08:03 GMT 2024","2675","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 16:07:41 GMT 2024","Fri Jun 07 16:07:41 GMT 2024","802","tests.api","test_basic_api","","","","test_my_ip_has_json_header",""
"passed","Fri Jun 07 16:07:58 GMT 2024","Fri Jun 07 16:07:59 GMT 2024","930","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 16:08:04 GMT 2024","Fri Jun 07 16:08:04 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 16:07:39 GMT 2024","Fri Jun 07 16:07:40 GMT 2024","346","tests.api","test_basic_api","","","","My IP request status is 200",""
