"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 14:50:10 GMT 2024","Fri Jun 07 14:50:10 GMT 2024","45","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 14:50:06 GMT 2024","Fri Jun 07 14:50:09 GMT 2024","2681","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 14:50:04 GMT 2024","Fri Jun 07 14:50:05 GMT 2024","831","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 14:50:12 GMT 2024","Fri Jun 07 14:50:13 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 14:50:11 GMT 2024","Fri Jun 07 14:50:12 GMT 2024","679","tests","test_login","","","","test_successful_login",""
