"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 14:58:29 GMT 2024","Fri Jun 07 14:58:29 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 14:58:30 GMT 2024","Fri Jun 07 14:58:31 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 14:58:29 GMT 2024","Fri Jun 07 14:58:30 GMT 2024","683","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 14:58:25 GMT 2024","Fri Jun 07 14:58:27 GMT 2024","2495","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 14:58:23 GMT 2024","Fri Jun 07 14:58:23 GMT 2024","667","tests","test_edit","","","","test_autocomplete",""
