"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 16:21:26 GMT 2024","Fri Jun 07 16:21:26 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 16:21:22 GMT 2024","Fri Jun 07 16:21:24 GMT 2024","2502","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 16:21:20 GMT 2024","Fri Jun 07 16:21:21 GMT 2024","689","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 16:21:17 GMT 2024","Fri Jun 07 16:21:17 GMT 2024","755","tests.api","test_basic_api","","","","test_my_ip_request_has_a_body",""
"passed","Fri Jun 07 16:21:16 GMT 2024","Fri Jun 07 16:21:17 GMT 2024","752","tests.api","test_basic_api","","","","test_my_ip_request_status_is200",""
"passed","Fri Jun 07 16:21:28 GMT 2024","Fri Jun 07 16:21:28 GMT 2024","689","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 16:21:26 GMT 2024","Fri Jun 07 16:21:27 GMT 2024","690","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 16:21:17 GMT 2024","Fri Jun 07 16:21:17 GMT 2024","202","tests.api","test_basic_api","","","","test_my_ip_has_json_header",""
