"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 15:22:37 GMT 2024","Fri Jun 07 15:22:37 GMT 2024","40","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 15:22:31 GMT 2024","Fri Jun 07 15:22:32 GMT 2024","1003","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 15:22:33 GMT 2024","Fri Jun 07 15:22:36 GMT 2024","2761","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 15:22:38 GMT 2024","Fri Jun 07 15:22:39 GMT 2024","687","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 15:22:13 GMT 2024","Fri Jun 07 15:22:13 GMT 2024","96","tests.api","test_basic_api","","","","My IP request status is 200",""
"passed","Fri Jun 07 15:22:13 GMT 2024","Fri Jun 07 15:22:13 GMT 2024","89","tests.api","test_basic_api","","","","test_my_ip_request_has_a_body",""
"passed","Fri Jun 07 15:22:39 GMT 2024","Fri Jun 07 15:22:40 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 15:22:13 GMT 2024","Fri Jun 07 15:22:13 GMT 2024","85","tests.api","test_basic_api","","","","test_my_ip_has_json_header",""
